Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
2020-12-23,41,3,52,44,36,43,37,37,17,33,79,45
2020-12-22,41,6,53,46,39,56,45,31,15,35,83,47
2020-12-21,33,10,44,41,36,41,45,40,16,32,77,45
2020-12-20,23,25,30,30,48,34,21,13,9,23,39,22
2020-12-19,23,22,41,30,48,47,25,19,13,27,79,20
2020-12-18,30,21,37,40,34,47,27,26,13,31,72,40
2020-12-17,31,3,42,37,27,46,41,35,10,29,69,36
2020-12-16,30,10,37,31,24,33,37,29,12,27,63,35
2020-12-15,30,6,36,36,23,34,34,33,10,25,59,31
2020-12-14,25,13,27,35,21,38,34,28,11,24,55,30
2020-12-13,16,21,26,24,36,16,15,10,5,18,30,15
2020-12-12,18,8,28,27,33,26,37,12,10,20,58,13
2020-12-11,28,11,27,32,22,29,44,24,9,25,57,30
2020-12-10,32,11,39,35,28,44,47,36,12,27,64,33
2020-12-09,38,10,34,35,28,42,58,36,13,28,65,36
2020-12-08,31,6,31,31,22,34,58,36,12,27,62,31
2020-12-07,31,10,34,32,22,46,55,39,11,27,64,34
2020-12-06,11,5,20,19,33,15,22,10,4,16,27,14
2020-12-05,22,19,45,34,46,36,59,24,11,28,82,21
2020-12-04,36,13,39,41,33,45,44,34,12,31,70,39
2020-12-03,39,5,37,38,25,38,48,38,11,27,62,34
2020-12-02,30,3,31,33,25,35,41,30,11,27,62,34
2020-12-01,33,6,30,30,21,29,42,35,10,26,59,32
2020-11-30,33,16,37,28,21,38,52,34,10,24,57,32
2020-11-29,15,13,22,18,33,20,22,9,4,16,27,15
2020-11-28,23,21,34,28,49,34,34,18,11,25,77,22
2020-11-27,28,19,37,38,49,46,49,26,14,28,75,42
2020-11-26,11,8,16,21,26,11,10,9,2,15,34,21
2020-11-25,32,8,24,29,21,37,45,30,8,23,53,27
2020-11-24,35,8,29,33,21,27,42,37,8,25,57,30
2020-11-23,29,13,33,32,23,49,40,33,9,26,59,31
2020-11-22,18,24,20,20,28,25,16,16,4,16,26,12
2020-11-21,18,21,29,21,33,41,26,14,8,21,57,15
2020-11-20,38,17,37,44,35,58,37,31,11,29,67,38
2020-11-19,35,6,37,34,26,51,49,36,13,28,64,34
2020-11-18,36,11,36,35,20,46,49,34,10,26,59,30
2020-11-17,34,0,33,38,19,33,44,34,7,25,55,30
2020-11-16,35,21,36,33,20,36,48,35,9,26,59,30
2020-11-15,15,16,19,18,17,19,19,8,5,13,23,5
2020-11-14,21,11,27,26,23,26,27,14,10,19,58,13
2020-11-13,35,8,39,43,27,44,52,34,14,30,71,39
2020-11-12,41,14,35,40,22,45,60,33,13,28,66,36
2020-11-11,27,3,35,34,19,30,40,26,9,24,58,28
2020-11-10,37,5,32,42,21,46,49,40,9,27,60,33
2020-11-09,39,6,35,38,22,52,45,40,12,28,64,32
2020-11-08,18,25,23,20,32,30,19,12,8,18,29,10
2020-11-07,22,17,29,34,44,30,29,15,8,28,71,23
2020-11-06,37,11,33,39,30,54,34,36,12,32,68,42
2020-11-05,35,10,32,40,21,39,48,36,10,29,60,34
2020-11-04,42,10,32,36,21,44,44,36,10,28,60,33
2020-11-03,38,5,32,34,24,49,42,39,10,28,63,35
2020-11-02,37,14,34,45,21,48,45,39,11,33,66,35
2020-11-01,15,24,13,19,19,23,26,10,6,15,24,6
2020-10-31,20,14,25,26,25,38,26,15,9,25,58,13
2020-10-30,42,14,43,44,28,54,53,34,14,33,75,45
2020-10-29,45,11,39,37,22,49,47,41,12,33,71,40
2020-10-28,43,10,36,37,23,43,38,34,10,31,69,39
2020-10-27,40,8,37,38,20,45,40,39,11,29,64,35
2020-10-26,37,11,38,33,18,44,49,32,12,30,64,33
2020-10-25,17,27,19,23,21,20,25,16,6,17,26,7
2020-10-24,28,22,32,34,35,49,38,17,11,29,75,20
2020-10-23,44,21,35,46,27,45,49,36,11,33,69,41
2020-10-22,41,5,39,42,26,50,41,36,13,34,73,41
2020-10-21,37,14,32,37,23,36,26,37,11,30,68,38
2020-10-20,46,75,33,39,22,42,38,41,11,30,68,37
2020-10-19,33,108,40,36,25,38,33,40,12,29,67,36
2020-10-18,14,240,24,28,26,22,10,16,7,19,30,10
2020-10-17,31,257,46,43,50,51,15,26,15,33,91,30
2020-10-16,44,148,45,55,38,51,44,43,13,37,85,54
2020-10-15,44,54,40,44,27,38,56,36,11,33,72,41
2020-10-14,35,67,43,41,27,53,40,40,13,31,70,39
2020-10-13,42,67,29,46,27,45,52,44,11,32,70,42
2020-10-12,23,111,33,33,23,32,49,28,11,26,63,30
2020-10-11,15,225,25,26,38,26,8,14,7,22,32,15
2020-10-10,24,213,30,41,48,49,16,23,14,31,81,28
2020-10-09,39,163,39,44,40,41,34,43,12,37,84,51
2020-10-08,43,57,43,50,31,53,47,44,13,32,75,44
2020-10-07,38,95,42,50,28,50,62,49,13,31,70,42
2020-10-06,40,71,34,40,28,40,51,40,11,30,67,40
2020-10-05,38,111,42,43,27,50,47,35,10,29,68,42
2020-10-04,15,171,25,23,30,17,18,11,5,18,27,18
2020-10-03,17,165,23,32,32,29,23,18,9,25,69,20
2020-10-02,36,143,38,47,34,54,44,35,12,33,79,49
2020-10-01,38,56,34,46,26,53,53,44,15,31,73,42
2020-09-30,44,71,35,46,27,49,44,42,13,30,69,41
2020-09-29,38,54,41,39,25,46,52,47,12,29,67,39
2020-09-28,35,102,31,34,23,32,38,45,25,27,62,38
2020-09-27,15,165,23,23,34,27,22,13,18,19,30,20
2020-09-26,25,173,31,38,43,35,34,19,30,28,76,25
2020-09-25,34,143,36,45,37,50,38,44,33,34,79,49
2020-09-24,41,67,39,47,27,42,49,38,31,31,68,42
2020-09-23,34,73,40,36,30,38,47,33,27,31,70,42
2020-09-22,37,41,35,45,28,44,64,37,29,30,68,40
2020-09-21,31,95,33,29,24,40,38,39,28,27,60,37
2020-09-20,15,205,19,26,32,21,21,16,18,18,26,18
2020-09-19,20,167,29,39,39,41,37,16,32,25,71,23
2020-09-18,34,103,36,45,31,50,44,43,32,32,73,44
2020-09-17,33,65,34,35,26,52,34,41,27,30,68,39
2020-09-16,31,48,35,38,27,41,44,37,28,30,68,40
2020-09-15,38,67,39,34,26,49,42,40,28,30,69,37
2020-09-14,33,62,36,36,25,37,38,37,26,29,66,38
2020-09-13,12,168,27,28,35,35,18,16,19,21,33,20
2020-09-12,19,89,26,33,28,30,19,16,20,21,59,16
2020-09-11,35,90,35,46,31,43,41,41,31,33,75,44
2020-09-10,40,49,37,48,25,49,45,48,32,31,70,41
2020-09-09,38,113,37,40,27,48,45,35,27,31,69,45
2020-09-08,31,119,31,36,24,36,30,32,30,29,62,42
2020-09-07,15,179,24,30,37,29,34,18,22,26,58,48
2020-09-06,14,283,27,32,45,47,26,19,22,25,35,32
2020-09-05,21,286,35,41,58,48,33,19,31,33,82,37
2020-09-04,37,235,38,47,42,60,49,42,33,38,80,62
2020-09-03,40,138,41,46,33,37,51,40,34,36,77,55
2020-09-02,36,168,38,38,30,42,45,39,32,35,72,53
2020-09-01,33,156,33,38,27,38,44,42,28,33,67,48
2020-08-31,28,125,35,35,26,50,38,34,28,38,63,46
2020-08-30,12,206,17,18,30,22,21,13,14,21,25,20
2020-08-29,18,165,26,17,30,29,29,13,16,22,53,20
2020-08-28,26,175,36,31,28,31,32,34,28,30,62,46
2020-08-27,34,141,40,32,27,41,48,40,29,33,66,49
2020-08-26,34,165,39,38,26,37,45,35,26,31,67,45
2020-08-25,36,130,37,32,28,50,38,43,26,32,70,49
2020-08-24,28,152,37,33,27,46,42,37,29,33,74,50
2020-08-23,10,189,16,22,26,25,15,13,14,17,27,21
2020-08-22,15,213,28,25,38,34,26,20,25,26,70,26
2020-08-21,34,237,37,39,34,45,34,36,30,34,74,55
2020-08-20,32,135,40,35,30,43,53,34,29,33,71,52
2020-08-19,36,133,42,38,28,52,41,43,31,32,73,49
2020-08-18,33,148,37,36,29,50,34,37,29,32,71,49
2020-08-17,36,162,32,34,27,38,44,38,28,32,68,51
2020-08-16,10,194,20,17,30,18,12,11,14,18,27,21
2020-08-15,16,121,22,24,25,19,15,12,19,19,49,18
2020-08-14,32,168,35,44,33,38,34,37,34,33,71,53
2020-08-13,34,160,40,30,27,40,29,42,28,32,67,47
2020-08-12,34,162,33,35,26,48,42,40,27,31,67,47
2020-08-11,31,108,34,33,26,38,37,30,21,29,63,45
2020-08-10,16,111,20,23,19,12,12,15,11,22,42,37
2020-08-09,14,232,23,24,39,27,21,18,18,24,34,33
2020-08-08,20,298,27,35,47,38,33,18,26,31,73,38
2020-08-07,39,256,41,46,42,62,49,34,36,42,85,74
2020-08-06,34,200,40,34,35,46,37,35,30,39,77,65
2020-08-05,34,205,39,41,33,56,52,36,30,38,74,65
2020-08-04,35,197,43,43,34,55,51,32,29,36,74,60
2020-08-03,38,192,38,37,32,43,45,35,30,36,75,62
2020-08-02,11,233,23,23,28,27,21,12,17,21,29,27
2020-08-01,17,213,26,28,37,41,19,15,21,27,64,31
2020-07-31,34,227,43,45,38,43,33,36,31,39,78,66
2020-07-30,35,217,43,38,34,45,56,41,33,38,77,64
2020-07-29,36,219,44,46,32,44,41,44,28,37,76,62
2020-07-28,34,189,36,36,31,33,33,37,31,37,73,60
2020-07-27,40,165,38,31,31,38,33,31,30,36,71,60
2020-07-26,12,135,18,22,26,18,11,10,16,19,27,21
2020-07-25,20,165,31,37,40,46,22,20,29,30,72,31
2020-07-24,27,140,31,32,30,29,37,23,28,33,62,50
2020-07-23,37,76,44,39,34,38,52,35,33,37,75,57
2020-07-22,37,143,42,36,32,44,44,39,31,37,73,61
2020-07-21,37,137,36,33,29,46,42,40,27,35,70,58
2020-07-20,36,78,36,36,30,50,37,37,29,34,70,55
2020-07-19,14,200,20,25,31,22,16,11,17,20,27,23
2020-07-18,21,230,26,27,35,29,30,16,27,27,60,27
2020-07-17,35,206,34,36,35,41,47,34,32,37,73,60
2020-07-16,36,154,39,36,33,40,34,37,32,38,75,62
2020-07-15,36,173,33,34,26,42,41,27,29,35,68,55
2020-07-14,34,173,35,39,30,42,34,31,30,36,68,57
2020-07-13,33,175,33,39,30,27,29,41,30,35,67,57
2020-07-12,10,213,21,25,37,26,12,12,21,22,31,31
2020-07-11,16,243,30,29,39,25,23,9,22,27,61,31
2020-07-10,33,194,39,30,36,45,25,27,28,38,75,61
2020-07-09,34,140,37,22,27,41,27,27,24,33,65,53
2020-07-08,35,173,34,28,33,50,32,34,30,35,73,58
2020-07-07,34,154,31,30,26,38,29,35,25,32,62,49
2020-07-06,40,154,37,32,29,36,37,32,31,35,71,59
2020-07-05,15,249,19,19,37,22,11,13,17,22,29,30
2020-07-04,12,225,23,23,38,34,16,13,18,22,55,29
2020-07-03,16,203,28,31,33,38,27,11,28,27,59,47
2020-07-02,27,219,33,31,32,42,26,30,27,33,66,55
2020-07-01,30,163,33,31,30,34,38,33,27,33,65,53
2020-06-30,26,135,34,40,26,33,36,32,27,31,61,46
2020-06-29,31,162,28,32,27,30,25,30,27,31,63,52
2020-06-28,13,183,19,17,27,24,11,6,15,19,26,24
2020-06-27,13,198,21,22,34,29,21,7,20,23,53,26
2020-06-26,26,146,29,35,23,35,27,29,27,29,57,44
2020-06-25,26,132,35,30,28,36,29,36,28,32,66,53
2020-06-24,21,135,31,25,21,35,27,28,22,27,54,42
2020-06-23,27,163,32,28,27,27,51,35,32,31,62,51
2020-06-22,22,160,32,30,23,31,26,32,27,29,60,50
2020-06-21,10,173,16,12,24,26,10,9,14,16,23,21
2020-06-20,13,170,16,18,26,36,23,8,19,20,49,21
2020-06-19,29,205,30,25,28,47,36,33,27,32,63,55
2020-06-18,23,154,32,33,25,40,26,33,29,31,60,49
2020-06-17,24,149,33,33,26,34,44,32,27,29,59,48
2020-06-16,28,173,37,29,26,35,32,33,30,30,63,51
2020-06-15,32,154,36,28,26,35,40,38,28,30,61,51
2020-06-14,9,122,11,10,18,15,5,8,13,14,20,17
2020-06-13,15,122,17,13,20,16,18,9,18,17,38,17
2020-06-12,28,178,32,33,25,40,25,31,24,28,58,47
2020-06-11,26,132,33,23,22,39,18,31,18,27,55,44
2020-06-10,24,105,24,26,18,41,25,31,17,26,49,39
2020-06-09,25,100,23,17,16,30,27,29,15,24,46,36
2020-06-08,23,105,29,22,18,37,25,32,17,25,51,41
2020-06-07,9,63,7,8,11,10,1,5,4,9,12,11
2020-06-06,11,102,13,12,12,10,5,5,7,12,25,11
2020-06-05,22,105,24,22,16,33,16,20,13,23,43,36
2020-06-04,20,63,22,18,14,29,22,23,14,21,39,30
2020-06-03,19,63,19,18,13,25,14,19,13,18,33,28
2020-06-02,6,43,7,6,6,4,3,9,4,8,13,12
2020-06-01,7,37,5,8,6,3,4,8,5,8,13,13
2020-05-31,12,38,9,9,9,13,11,7,5,10,14,10
2020-05-30,25,159,19,13,19,27,11,10,10,20,43,22
2020-05-29,22,152,29,26,22,34,21,22,18,26,50,43
2020-05-28,19,113,26,22,16,22,26,19,13,22,42,37
2020-05-27,18,144,31,23,20,26,14,22,15,25,46,42
2020-05-26,22,133,34,21,20,33,25,33,17,24,46,40
2020-05-25,8,133,13,15,19,19,12,11,5,17,31,31
2020-05-24,14,156,14,16,21,15,12,6,5,17,20,24
2020-05-23,13,102,16,14,18,16,14,8,7,16,34,19
2020-05-22,18,143,28,21,21,26,19,21,16,26,50,45
2020-05-21,21,143,29,23,20,37,18,24,13,25,47,43
2020-05-20,18,105,23,21,18,31,15,27,15,25,43,42
2020-05-19,15,124,24,19,16,24,18,24,14,23,40,38
2020-05-18,14,129,19,23,17,23,27,30,16,23,41,38
2020-05-17,6,67,9,7,8,6,5,4,4,9,11,10
2020-05-16,13,157,19,15,18,10,15,8,9,18,37,21
2020-05-15,18,127,24,19,19,24,8,20,13,23,42,39
2020-05-14,14,94,20,17,13,22,15,21,10,20,34,31
2020-05-13,14,114,22,20,15,22,11,25,13,21,38,34
2020-05-12,14,92,21,14,14,21,15,22,12,19,36,31
2020-05-11,16,111,18,14,15,25,11,25,14,20,37,34
2020-05-10,5,95,9,8,10,6,8,7,3,9,13,12
2020-05-09,8,97,14,13,15,10,8,9,8,14,31,16
2020-05-08,15,110,26,17,17,23,12,21,14,22,41,36
2020-05-07,13,86,20,14,16,22,14,20,12,20,34,31
2020-05-06,11,106,21,17,16,22,25,24,17,21,39,35
2020-05-05,14,106,20,12,15,17,15,23,11,21,33,33
2020-05-04,18,81,22,17,14,25,16,18,14,20,36,33
2020-05-03,6,79,13,6,12,5,1,6,4,11,13,15
2020-05-02,9,144,12,10,16,18,3,6,6,15,30,18
2020-05-01,21,111,16,18,16,24,16,18,15,24,38,44
2020-04-30,17,84,21,16,15,20,15,22,13,21,34,36
2020-04-29,14,65,17,10,10,20,11,16,10,17,28,30
2020-04-28,15,81,19,19,15,18,19,21,13,22,38,41
2020-04-27,13,106,18,14,14,21,5,16,14,20,35,38
2020-04-26,6,125,11,9,16,11,3,4,5,13,16,19
2020-04-25,5,121,11,9,11,11,7,6,4,12,23,16
2020-04-24,13,113,18,15,14,24,18,15,12,20,36,38
2020-04-23,16,129,17,12,13,13,10,15,14,20,33,37
2020-04-22,20,94,18,12,13,21,15,18,11,19,32,35
2020-04-21,17,98,19,15,14,18,11,18,14,20,33,36
2020-04-20,14,122,18,11,14,24,12,21,11,20,34,36
2020-04-19,5,90,9,6,13,7,5,4,5,11,14,16
2020-04-18,8,105,12,11,14,16,4,4,5,14,28,20
2020-04-17,16,110,14,14,13,18,10,14,12,18,32,34
2020-04-16,16,95,18,14,13,18,10,16,10,18,31,34
2020-04-15,15,106,15,9,12,25,8,15,9,19,35,31
2020-04-14,16,75,19,10,12,18,8,15,10,18,31,31
2020-04-13,17,97,20,15,12,20,5,14,11,18,32,34
2020-04-12,5,90,9,5,11,11,3,6,5,10,13,15
2020-04-11,7,87,11,8,13,17,4,7,5,13,27,17
2020-04-10,14,97,22,16,14,14,19,15,12,19,34,35
2020-04-09,17,92,18,13,14,22,11,18,13,19,33,34
2020-04-08,18,106,19,15,13,26,10,21,11,19,31,33
2020-04-07,19,103,18,17,15,25,15,19,12,20,35,36
2020-04-06,16,100,19,17,13,18,19,18,13,20,33,35
2020-04-05,5,111,10,8,12,9,1,3,5,11,13,15
2020-04-04,6,113,9,10,12,18,3,5,6,13,25,16
2020-04-03,16,108,21,11,15,27,15,13,17,22,36,39
2020-04-02,13,113,20,15,15,22,8,17,11,21,34,37
2020-04-01,15,102,24,15,14,24,16,17,14,21,36,38
2020-03-31,20,65,19,12,13,18,14,19,11,21,34,37
2020-03-30,18,70,18,13,13,27,10,19,13,21,36,36
2020-03-29,8,105,10,5,9,9,5,6,4,11,13,14
2020-03-28,6,117,9,5,11,12,3,6,6,12,24,15
2020-03-27,20,113,18,13,15,32,11,16,13,22,36,39
2020-03-26,21,110,15,14,14,18,8,21,12,22,36,38
2020-03-25,24,146,24,20,18,30,21,21,12,26,41,45
2020-03-24,22,95,24,20,15,27,14,20,14,24,38,40
2020-03-23,15,125,19,17,15,21,23,19,14,23,36,38
2020-03-22,6,83,14,10,11,14,5,5,7,12,14,16
2020-03-21,9,76,15,10,11,10,10,5,6,13,26,15
2020-03-20,27,110,28,19,20,36,14,27,18,32,51,52
2020-03-19,36,163,33,29,24,38,19,37,25,39,63,68
2020-03-18,46,208,42,33,25,54,29,42,27,45,72,79
2020-03-17,55,249,48,40,35,61,40,51,38,56,93,101
2020-03-16,89,278,64,77,43,98,79,79,58,76,127,145
2020-03-15,23,229,27,37,39,46,36,20,28,35,46,51
2020-03-14,29,310,42,46,47,65,40,28,49,49,109,66
2020-03-13,111,429,109,109,71,138,96,113,88,114,199,216
2020-03-12,128,494,130,133,77,130,147,126,106,133,228,244
2020-03-11,131,424,112,132,78,116,153,124,107,138,231,252
2020-03-10,135,440,125,138,81,140,118,127,113,139,235,260
2020-03-09,135,537,112,143,76,131,145,138,107,137,225,253
2020-03-08,32,443,74,53,80,72,62,27,51,61,80,97
2020-03-07,50,510,81,81,96,94,85,45,81,82,190,119
2020-03-06,144,560,118,134,87,158,136,138,130,140,246,268
2020-03-05,140,508,130,143,88,146,145,136,129,148,259,278
2020-03-04,137,410,99,126,100,142,137,137,115,151,205,253
2020-03-03,136,287,107,139,143,139,167,145,115,158,91,243
2020-03-02,95,211,89,117,133,147,167,128,104,135,33,165
2020-03-01,37,30,55,54,98,65,48,32,55,53,11,94
2020-02-29,63,65,72,86,111,95,81,50,82,71,24,136
2020-02-28,142,232,90,127,152,133,115,131,127,149,26,227
2020-02-27,128,211,93,136,150,130,141,146,123,154,30,232
2020-02-26,139,246,84,145,137,125,115,129,108,142,27,207
2020-02-25,138,260,91,151,161,131,130,140,123,154,31,228
2020-02-24,137,187,90,132,154,110,142,136,118,147,27,181
2020-02-23,47,40,44,59,98,50,48,24,46,55,12,97
2020-02-22,52,62,91,80,139,82,88,42,90,81,29,167
2020-02-21,138,198,90,133,174,134,136,127,126,154,30,235
2020-02-20,153,278,93,146,169,112,147,127,122,158,33,235
2020-02-19,140,210,88,129,164,118,138,134,115,155,30,227
2020-02-18,123,206,89,119,159,122,104,121,110,149,28,215
2020-02-17,70,170,56,82,118,88,111,82,83,105,21,128
2020-02-16,47,37,53,61,117,62,27,30,58,64,12,105
2020-02-15,53,73,78,81,142,83,53,40,91,86,18,161
2020-02-14,135,219,94,139,169,122,99,121,130,149,21,213
2020-02-13,140,235,96,143,162,124,122,129,142,154,25,216
2020-02-12,116,243,96,136,154,117,116,125,116,151,34,199
2020-02-11,139,183,88,129,141,130,153,140,110,144,33,191
2020-02-10,130,38,93,97,97,106,111,124,109,120,74,95
2020-02-09,28,8,44,38,46,51,47,20,41,29,54,22
2020-02-08,54,19,80,65,85,83,85,37,78,50,99,53
2020-02-07,124,16,127,120,98,123,123,123,118,107,155,95
2020-02-06,124,22,145,115,86,110,130,134,121,106,152,88
2020-02-05,129,24,136,115,86,112,129,129,115,110,155,67
2020-02-04,122,14,120,111,83,114,137,125,111,108,152,59
2020-02-03,118,8,130,114,80,123,129,141,113,103,152,18
2020-02-02,30,5,50,46,55,45,45,22,43,29,67,9
2020-02-01,44,16,80,54,69,60,44,34,69,42,86,31
2020-01-31,126,16,116,101,87,116,110,131,122,100,146,51
2020-01-30,124,24,127,116,83,104,103,138,102,107,149,53
2020-01-29,148,22,127,124,85,130,110,140,112,112,154,55
2020-01-28,147,25,138,122,83,111,111,136,106,112,156,56
2020-01-27,127,19,119,107,78,95,121,130,111,105,149,19
2020-01-26,29,13,39,42,45,42,25,28,36,27,58,10
2020-01-25,46,24,73,62,62,67,40,41,72,42,88,29
2020-01-24,127,13,117,108,77,102,110,119,122,101,144,51
2020-01-23,117,19,107,94,73,88,108,109,97,101,136,46
2020-01-22,138,13,115,116,77,128,115,116,103,105,144,49
2020-01-21,129,25,121,109,81,88,112,128,115,110,149,54
2020-01-20,50,14,85,67,55,58,67,62,67,58,88,9
2020-01-19,23,6,47,34,47,36,30,18,40,28,59,6
2020-01-18,41,11,81,60,70,74,42,30,78,45,95,27
2020-01-17,121,17,120,92,79,109,90,128,117,105,146,50
2020-01-16,130,14,134,107,87,122,107,161,108,113,154,51
2020-01-15,133,16,138,114,88,107,121,137,122,119,159,55
2020-01-14,122,19,130,104,85,118,122,173,107,112,151,50
2020-01-13,129,25,124,115,85,102,122,126,115,109,155,21
2020-01-12,30,10,40,37,37,26,29,20,47,25,57,6
2020-01-11,47,17,66,47,46,37,40,27,62,36,73,21
2020-01-10,130,17,137,115,86,122,88,138,118,104,154,60
2020-01-09,116,14,168,117,85,121,133,133,114,108,158,65
2020-01-08,121,16,145,104,82,105,111,111,109,103,150,61
2020-01-07,113,10,140,103,81,117,125,117,104,103,151,61
2020-01-06,127,17,148,114,94,103,136,162,123,106,159,33
2020-01-05,29,19,52,44,58,40,38,29,51,33,73,11
2020-01-04,46,24,102,71,87,60,70,40,94,51,102,36
2020-01-03,122,24,156,115,119,107,123,137,144,109,169,69
2020-01-02,120,27,163,128,124,121,129,129,129,110,161,70
2020-01-01,32,17,60,70,90,57,45,48,67,56,83,25
2019-12-31,88,44,109,105,102,107,75,94,121,91,134,56
2019-12-30,101,24,124,116,103,130,112,117,144,98,148,31
